Mes,Año,Observado,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CESM2-WACCM,CMCC-CM2-SR5,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,EC-Earth3,EC-Earth3-Veg-LR,FGOALS-g3,GFDL-CM4,GFDL-CM4_gr2,GFDL-ESM4,HadGEM3-GC31-LL,IITM-ESM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-MM
5,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1989,0,0,0,0,0,0,0,0,0,8.163452513,0,0,0,0,0,0,0,0,1,0,0,2,0,0,7.260288731,0,2,0,0,7
7,1989,0,0,2,105.1318362,0,0,0,8,29.66903591,0,35.02243822,58.95453945,17.06007011,7,4.183854412,19.10269484,0,4,23.13500876,3,22.14490198,22.66545699,0,0,7,0,0,0,112.1418151,0
8,1989,28,4,6,0,0,0,0,0,47.05617189,1,9,0,0,0,0,7.792015786,30.0582246,10.02501988,6,0,0,3,28.16872303,0,0,2,17.83169402,0,0,0
9,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1990,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2,1990,0,0,0,0,0,0,0,0,0,0,0,19.90229201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1990,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1990,0,0,1,1,8.965702453,0,0,12.9024714,51.0240948,0,0,0,0,0,0,0,0,0,2,9,0,0,0,2,0,0,0,2,0,0
7,1990,0,28.00751342,0,2,2,27.85038865,0,96.09416655,25.98748945,35.31187302,0,0,6,2,0,4.246788225,2,0,124.6088636,0,3,0,36.02154122,2,6,3,0,14.15894632,0,40.4659775
8,1990,0,61.40806137,0,1,0,8.850772121,0,106.9755494,20.0199655,3,0,0,6,0,0,0,0,0,0,53.14855432,0,0,18,46.13138128,13.95988793,0,0,0,0,3
9,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1991,0,0,0,0,0,0,0,0,0,0,0,12.09435451,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1991,56,0,1,0,7.067921091,0,0,3,0,11.18201559,8,0,3,5.944033945,8.085684759,33.21071366,87.69006751,0,6,34.06211057,0,0,0,1,5,2,0,1,7.10328089,0
7,1991,11,2,6,65.69937622,2.142558224,0,5,4,0,15.82372604,19.78967097,93.88021472,2.17665906,0,60.8195914,55.20751716,4,0,8.058040783,0,9.026515143,0,92,0,4,0,56.97679279,24.31469313,105.044868,0
8,1991,0,0,14.92269378,0,2,0,0,2.983692207,7.000666062,4,0,0,2,0,0,4,0,4,0,0,0,0,0,0,0,4,10.01918614,4.826945812,6,38.07162921
9,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118407444,0,0,0
2,1992,0,0,0,0,0,0,0,0,0,0,0,3.932864215,0,0,22.00639087,0,35.25577445,0.098828389,3.978545046,0,0,0,0,0,0,0,0,0,0,0
3,1992,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,3.115164347,0,0,0
4,1992,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1992,40,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1992,19,0,0,3.987741035,0,0,4,0,0,0,0,0,0,2,22.02196224,22.14855535,0,0,0,8,9.841762686,0,0,0,0,0,0,0,1,0
7,1992,0,0,15.08818814,104.6218354,4.66675546,103.161349,130.2745635,0,2,31.11451948,7.046978606,0,6,43.02942625,0,0,74.40192815,0,15.20611343,40.27772811,0,4,9,0,0,0,98.38211168,113.4254632,12.0999156,19.89299149
8,1992,0,33.93695805,20.03450878,29.93755322,0,24.88371528,4.167646999,0,0,0,6.025926117,0,2.916805777,1,11.03968089,11.11192818,0,3,0,0,0,0,0,0,2,101.1789661,83.41077999,2,0,0
9,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972994964,0,0,0,12,0,0,0
3,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,26.90213938,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,6.125843606,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,1993,0,0,0,0,7,6,0,0,2,38.23447402,14.08161559,0,0,0,0,2,0,0,1,0,0,4,0,4.966620197,6.064174079,45.16378896,0,7,0,0
7,1993,0,95,15.83042689,6,0,0,0,2,6,2,0,25.9705074,246.1997652,0,0,0,0,5.926780027,6,0,44.86481578,23.14859622,0,0,2.066817041,0,8,8,0,0
8,1993,2,4.024843995,0,38.96851031,24.30235715,0,0,0,0,0,0,2,0,0,5,6.11777927,22.15718794,2,4.086276454,13.76127512,0,0,0,0,0,2,22,0.991925124,0,6.023895433
9,1993,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
